split_type;year;split;rows;default_rate
out_of_sample;2015;test;4661;0.1506114567689337
out_of_sample;2015;train;18427;0.15618386063927933
out_of_sample;2016;test;4390;0.06970387243735764
out_of_sample;2016;train;17508;0.06711217729038153
out_of_sample;2017;test;4390;0.05558086560364465
out_of_sample;2017;train;17847;0.049476102426178066
out_of_sample;2018;test;3870;0.03798449612403101
out_of_sample;2018;train;15802;0.04537400329072269
out_of_sample;2019;test;3488;0.04529816513761468
out_of_sample;2019;train;13905;0.044300611290902556
out_of_sample;2020;test;3007;0.041237113402061855
out_of_sample;2020;train;11833;0.04056452294430829
out_of_sample;2021;test;1318;0.051593323216995446
out_of_sample;2021;train;5312;0.04725150602409638
out_of_time_last_year_2021;2015;train;23088;0.15505890505890507
out_of_time_last_year_2021;2016;train;21898;0.06763174719152434
out_of_time_last_year_2021;2017;train;22237;0.050681296937536535
out_of_time_last_year_2021;2018;train;19672;0.04392029280195201
out_of_time_last_year_2021;2019;train;17393;0.04450066118553441
out_of_time_last_year_2021;2020;train;14840;0.040700808625336926
out_of_time_last_year_2021;2021;test;6630;0.04811463046757165
