iteration,dropped_feature,dropped_feature_name,vif_before_drop,remaining_after_drop
1,Var_32,Senior Net Debt,38166098537038.1,74
2,Var_18,IFRS_Assets Total,237031559335289.25,73
3,Var_11,Equity And Liabilities Total,36028797018963.97,72
4,Var_01,Assets Current Total,inf,71
5,Var_25_missing_flag,Quick Ratio (missing flag),2075589.3432320722,70
6,Var_19,IFRS_Equity And Liabilities Total,604086.3342134074,69
7,Var_01_missing_flag,Assets Current Total (missing flag),1543234.4943759192,68
8,Var_25,Quick Ratio,456114.47730974253,67
9,Var_36_missing_flag,Total Net Debt (missing flag),4358.321382343397,66
10,Var_34_missing_flag,Tangible Net Worth (missing flag),3100.7264023232365,65
11,Var_18_missing_flag,IFRS_Assets Total (missing flag),1270.3138539166523,64
12,Var_19_missing_flag,IFRS_Equity And Liabilities Total (missing flag),1443.7458849819207,63
13,Var_37,Total Net Debt EBITDA,1034.8479018379212,62
14,Var_33_missing_flag,Senior Net Debt EBITDA (missing flag),624.9698800830366,61
15,Var_24,Profit Loss Before Tax,261.46266007390017,60
16,Var_08,Earnings Before Interest And Tax,199.96915261103294,59
17,Var_09,Earnings Before Interest Tax And Depreciation,169.3497126483458,58
18,Var_32_missing_flag,Senior Net Debt (missing flag),63.03809848731371,57
19,Var_16,IFRS_Assets Current Total,54.63865486849023,56
20,Var_31,Sales Total Assets,50.91527211117784,55
21,Var_34,Tangible Net Worth,44.54695387114276,54
22,Var_14,Gross Profit,27.729854220784777,53
23,Var_05_missing_flag,Debt Net Worth (missing flag),22.944524938858866,52
24,Var_38,Trade And Other Payables Current,22.86779504890781,51
25,Var_30,Sales Excluding VAT,18.186357706166486,50
26,Var_04_missing_flag,Current Ratio (missing flag),14.58873583574525,49
27,Var_12,Equity And Reserves,11.659273399081213,48
28,Var_22_missing_flag,Net Profit (missing flag),10.575122856776368,47
