,shap,lgb_gain,iv,readable_name,shap_rank,lgb_rank,iv_rank
Var_02,0.6518962352858603,2885253.3044786453,4.766784291592028,Assets Total,1,1,1
Var_11,0.21620211659028674,348801.60526371,,Var_11,2,3,61
Var_18,0.10775176192714835,410356.2433433533,,Var_18,3,2,61
Var_25,0.08863591759779782,239286.47054100037,,Var_25,4,4,61
Var_12,0.055847277917846105,129591.9716014862,,Var_12,5,5,61
Var_19,0.05499362252207748,110612.55418014526,,Var_19,6,6,61
Var_39,0.047551132211196896,52349.55306768417,4.337604408789566,Working Capital,7,8,2
Var_04,0.046867453097372364,69679.62387371063,0.1162500028782132,Current Ratio,8,7,15
Var_34,0.019238301989948088,10198.75335597992,,Var_34,9,13,61
Var_08,0.01739453829184602,34921.08230113983,,Var_08,10,10,61
Var_03,0.016773969588631244,39811.33484554291,2.354365013754067,Cash And Cash Equivalents,11,9,10
Var_17,0.009529367566214454,8689.319561004639,2.927322006931151,IFRS_Assets Non Current Total,12,15,5
Var_13,0.008673514974302257,11493.314628601074,0.0151823914652979,Financial Leverage,13,12,22
Var_01,0.006975911573571511,27008.90295314789,,Var_01,14,11,61
Var_10,0.005896349695348783,4982.683981895447,4.197576666946143,Eff Tang Net Worth Actual,15,18,3
Var_35,0.0033294068382756325,9496.34962940216,0.0645719675920004,Total Liabilities Total Assets,16,14,17
Var_24,0.0028422521904657447,5313.42671585083,,Var_24,17,17,61
Var_09,0.0027021743579105947,7676.6965980529785,,Var_09,18,16,61
Var_16,0.002290157033995788,3231.54688167572,,Var_16,19,28,61
Var_38,0.00217244455914078,3899.741512298584,,Var_38,20,21,61
